id,PS_mean_mfcc_0,PS_mean_mfcc_1,PS_mean_mfcc_2,PS_mean_mfcc_3,PS_mean_mfcc_4,PS_mean_mfcc_5,PS_mean_mfcc_6,PS_mean_mfcc_7,PS_mean_mfcc_8,PS_mean_mfcc_9,PS_mean_mfcc_10,PS_mean_mfcc_11,BS_mean_mfcc_0,BS_mean_mfcc_1,BS_mean_mfcc_2,BS_mean_mfcc_3,BS_mean_mfcc_4,BS_mean_mfcc_5,BS_mean_mfcc_6,BS_mean_mfcc_7,BS_mean_mfcc_8,BS_mean_mfcc_9,BS_mean_mfcc_10,BS_mean_mfcc_11,PS_mean_centroid,BS_mean_centroid
HF001_011918,-809.557739258,125.41519928,-26.3547611237,-30.4457321167,-36.9772071838,-49.4954109192,-36.5955047607,-27.1973342896,-31.044002533,-21.5669631958,-15.8181495667,-14.3968706131,-959.855773926,127.847991943,0.755212187767,-24.5602207184,-23.2789840698,-36.3094520569,-29.8446216583,-19.6435508728,-20.8523864746,-18.144990921,-11.4272165298,-11.4639911652,0.138942855098,0.0946141408008
HF001_012218,-836.34588623,123.838394165,-18.5843639374,-30.7799682617,-37.4038887024,-46.9086303711,-36.8318786621,-26.4814605713,-30.7817001343,-19.515832901,-16.2650947571,-16.3430595398,-885.794311523,153.227645874,3.20337367058,-32.6657714844,-31.1389160156,-39.0037117004,-35.4886703491,-29.3072166443,-25.185508728,-22.2894191742,-16.5162277222,-12.829577446,0.145698057769,0.0748619033627
HF001_012318,-806.364013672,106.112808228,-16.1349697113,-33.0670852661,-48.8397293091,-52.4351730347,-38.1852226257,-30.630771637,-29.4080982208,-17.4318943024,-16.1957702637,-13.2459135056,-863.936889648,157.466583252,-23.2282924652,-29.2185974121,-39.6495170593,-51.2962265015,-32.7137794495,-31.0165538788,-29.9697189331,-20.4576435089,-15.5520191193,-16.1955337524,0.172455615443,0.0735254893867
HF001_012418,-806.756530762,111.96572876,-14.7471961975,-30.2994289398,-46.3380203247,-51.1408424377,-38.0855674744,-30.4822769165,-29.7774791718,-17.1091079712,-15.3238372803,-13.8643608093,-908.721313477,147.213607788,-8.49164676666,-28.5697231293,-32.0371360779,-43.3509902954,-30.8299293518,-26.6177787781,-28.2762432098,-18.3473739624,-14.342754364,-17.0207996368,0.165519955935,0.0726377200884
HF001_012518,-818.956359863,118.693969727,-9.33244991302,-34.3120117188,-50.0643920898,-50.5102386475,-40.1808624268,-30.0858726501,-26.5626296997,-17.6927871704,-16.3692951202,-11.8184013367,-870.630065918,149.490234375,-2.20948600769,-27.552488327,-37.8703193665,-45.811706543,-35.4999275208,-31.4977626801,-25.9845199585,-20.7375946045,-15.2997694016,-13.3409156799,0.15602937696,0.0749596929972
HF001_012618,-811.745117188,113.179626465,-17.0038871765,-33.0563011169,-46.5740432739,-48.0608978271,-40.2897071838,-29.7183303833,-25.8357334137,-17.4903182983,-15.0608386993,-12.7572917938,-949.605224609,133.616088867,-10.7857131958,-28.8764610291,-22.9697189331,-36.7280921936,-31.9491500854,-25.2250404358,-25.4590759277,-20.82695961,-14.3469343185,-12.7783555984,0.158782447616,0.0791879255583
HF002_012218,-817.226318359,122.306556702,-14.343624115,-26.801776886,-44.5239677429,-50.0632400513,-36.4978942871,-35.1375732422,-32.4713516235,-17.5788536072,-17.5331478119,-15.3146324158,-815.760437012,156.615112305,-12.1380567551,-22.6585102081,-33.2987251282,-47.4523773193,-31.4234580994,-36.6414108276,-31.2136230469,-21.4582996368,-16.9603347778,-16.8077220917,0.148879516559,0.0798482924049
HF002_012318,-809.203125,111.356437683,-12.8623304367,-28.6132583618,-49.117477417,-50.8598060608,-37.9176559448,-36.4593048096,-29.6173305511,-16.7911586761,-18.4458408356,-13.147233963,-755.287475586,167.458129883,-26.6281280518,-20.4877700806,-43.7470245361,-55.2100982666,-30.6307163239,-44.3024635315,-31.9230823517,-17.2602405548,-19.5050582886,-16.1363449097,0.162691685703,0.0748878608229
HF003_012918,-786.717895508,107.992462158,-22.288766861,-22.795873642,-41.2499656677,-52.0262756348,-31.781791687,-28.5524139404,-33.191608429,-19.7354278564,-17.433467865,-16.1764698029,-958.059265137,127.401000977,-11.1773195267,-19.7030143738,-21.9623413086,-39.5164070129,-23.6144504547,-18.3314151764,-27.8140411377,-21.0375328064,-13.0091743469,-15.8782939911,0.171681102772,0.0903839449728
HF004_012918,-847.215087891,130.837982178,-33.1190338135,-28.6440734863,-32.0242347717,-52.1095542908,-31.9038696289,-23.2167015076,-36.7443962097,-17.6504402161,-9.85180282593,-20.641292572,-970.427490234,133.857070923,7.48728752136,-17.7886333466,-21.2098922729,-36.3361206055,-24.4702987671,-21.0373725891,-31.9192886353,-17.6043167114,-8.95768547058,-21.5804405212,0.132262466706,0.0799683078165
